title,condition,kind
공공기관 NCS블라인드 채용,개강예정,사회
R을 이용한 데이터 분석,개강예정,공학
R을 이용한 금융데이터 분석,개강예정,공학
금융전문가에게 배우는 부자되는 가장 확실한 방법,개강예정,사회
투자를 위한 거시경제,개강예정,사회
금융전문가에게 배우는 글로벌 경제분석과 주식 투자 전략,개강예정,사회
중간관리자가 꼭 알아야하는 머신러닝과 빅데이터 기법,개강예정,공학
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_하",개강예정,사회
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_상",개강예정,사회
데이터 분석과 비즈니스를 위한 기초 통계학_상,개강예정,공학
데이터 분석과 비즈니스를 위한 기초 통계학_하,개강예정,공학
"나에게 맞는 '직무'찾기 - 인문,상경계열 편",개강예정,사회
나에게 맞는 '직무'찾기 - 이공계열 편,개강예정,사회
마케팅 데이터 사이언스-파이썬편,개강예정,공학
파이썬을 이용한 데이터 분석,개강예정,공학
파이썬 머신러닝,개강예정,공학
R머신러닝,개강예정,공학
최고투자책임자가 알려주는 자산배분 레시피,개강예정,사회
합격을 부르는 면접 스피치,개강예정,사회
취업준비를 위한 산업분석,개강예정,사회
채용 트렌드&준비 전략,개강예정,사회
KOICA와 함께하는 SDGs 알아보기,개강예정,사회
KOICA와 함께하는 프로젝트 사업관리,개강예정,사회
KOICA와 함께하는 국제개발협력 분야별 이슈,개강예정,사회
KOICA와 함께하는 국제개발협력 첫걸음,개강예정,사회
KOICA와 함께하는 세계시민교육(일반인),개강예정,사회
KOICA와 함께하는 국제개발협력: 범분야의 이해,개강예정,사회
비유와 우화로 보는 철학 산책,진행중,인문
생명의 파노라마,진행중,자연
한국 지오파크의 지형,진행중,자연
 인공지능과 모빌리티(AI+Mobility),진행중,공학
인공지능과 미래기술 (AI+Future Technology),진행중,공학
인공지능과 헬스케어(AI+Health Care),진행중,공학
 인공지능과 에너지(AI+Energy),진행중,공학
누구나 쓸 수 있는 메타버스(Metaverse that anyone can use),진행중,공학
국제무역론,진행중,사회
재미있는 4차 산업혁명 이야기,진행중,공학
위대한 수업2(GREAT MINDS) : 현실주의자들의 정치,청강가능,사회
디지털 마케팅과 소셜 미디어 브랜드 콘텐츠 전략,진행중,사회
아픈 영혼을 철학으로 치유하기 ,진행중,인문
AI시대 발명과 특허,진행중,사회
예술계열 캡스톤 디자인 설계,진행중,예체능
이공계열 학생을 위한 캡스톤 디자인 소개,진행중,공학
해외 비즈니스 기초,진행중,공학
영상콘텐츠 제작을 통한 사회적 기업의 이해,진행중,사회
"C언어기초 (배열,포인터,문자열,구조체)",진행중,공학
Zhuangzi's Fables and Their Wisdom,진행중,인문
꿈 성취의 비밀 라이프 로드맵(Life Roadmap; The Secret of Achieving My Dream),진행중,인문
공정사회로 가는 계약법,진행중,사회
원헬스와 신종 감염병,진행중,의료
수학으로 푸는 블록체인(Blockchain solved with mathematics),진행중,공학
기계-인간-환경 공존시대의 휴머니티 경영,진행중,공학
디지털 금융세상의 리스크관리,진행중,공학
청소년사회봉사개론,진행중,공학
청소년예술활동과 미디어,진행중,공학
청소년커뮤니티 운영의 실제,진행중,공학
커뮤니티예술활동의 이론과 실제,진행중,공학
케이팝(K-POP)으로 배우는 한국 대중문화,진행중,인문
위대한 수업2(GREAT MINDS) : 민주주의 난제,청강가능,사회
시니어 건강운동 지도자를 위한 이론과 실제,진행중,예체능
신체이완과 움직임 (소메틱 소도구 필라테스),진행중,예체능
바디발란스,진행중,예체능
액티브시니어를 위한 힐링 요가,진행중,예체능
사회적 경제와 소셜벤처 창업,진행중,사회
빅데이터와 융복합 창업,진행중,사회
전통활쏘기,진행중,예체능
현대인을 위한 감정 다스리기,진행중,사회
리더의 전략적 의사결정 ,진행중,사회
삶과 교육,진행중,교육
아시아계 미국인: 차별과 배제의 정치 ,진행중,사회
창업아이디어 탐색 및 실습,진행중,사회
인간의 판단과 의사결정,진행중,사회
공기조화기술 (HVAC) 기초,진행중,공학
사물인터넷(IoT)과 제어기술,진행중,공학
스마트 에너지 이론,진행중,공학
인공지능(AI)과 냉동공조,진행중,공학
유니티로 이해하는 인공지능과 기계학습 (feat. ML-Agent),진행중,공학
Vuforia를 활용한 AR 콘텐츠 만들기,진행중,공학
유니티 VR 프로그래밍,진행중,공학
프로그래밍 문법에서 자유로워지는 유니티 비주얼 스크립팅,진행중,공학
외국인유학생을 위한 한국대학문화,진행중,교육
미디어 빅뱅 시대의 예술-BTS를 중심으로-,진행중,예체능
데이터엔지니어링,진행중,공학
멀티미디어,진행중,공학
예술가와 디자이너를 위한 아트 코딩,진행중,융복합
비정형 데이터 분석: 소셜 네트워크의 이해 및 분석,진행중,사회
비정형 데이터 분석: 소셜 네트워크의 분석 심화,진행중,사회
영미문화 속 여성이야기,진행중,사회
임상정보학,청강가능,의료
마학·마술학 기초과정,진행중,자연
말보건관리·재활승마이론 기초과정,진행중,자연
한걸음 더 몽골어 더 알고 싶은 몽골어,진행중,인문
초급 힌디어 문법:A1,진행중,인문
" 이탈리아어, 첫 걸음 내딛기",진행중,인문
기초 태국어 (A1),진행중,인문
초급 인도네시아어 읽기,진행중,인문
초급 헝가리어-1,진행중,인문
기계 학습 기반의 데이터 공학,진행중,공학
"위대한 수업2(GREAT MINDS) : 다시 보는 <총, 균, 쇠>",청강가능,인문
블록체인 경제와 디지털 자산 혁명,진행중,인문
"차이나는 K-클라스 : 1시간에 몰아보는 K-컬처 총정리(유홍준, 김영대, 백은하)",청강가능,인문
생물정보학과 신약개발,진행중,의료
한국의 민주주의와 민주화 운동Ⅵ,진행중,사회
한국의 민주주의와 민주화 운동Ⅴ,진행중,사회
아트앤테크 융합예술의 이해,진행중,예체능
말조련 실무 기초과정,진행중,자연
민주 시민의식을 위한 동양 고전의 프리즘,진행중,인문
과학문화 명작세미나,진행중,인문
파이썬 프로그래밍,진행중,공학
생활과 문화를 통해 한국사 새롭게 이해하기,진행중,인문
R로 배우는 고급통계,진행중,공학
TeraONE 활용 빅데이터 통합 플랫폼 구축,진행중,공학
빅데이터 거버넌스,진행중,공학
빅데이터 분석 프로젝트,진행중,공학
논문작성 가이드,진행중,인문
나노 공정과 생산,진행중,공학
나노스케일 에너지 전달,진행중,공학
K-뷰티 마케팅,진행중,인문
K-뷰티 코디네이션,진행중,자연
색채와 퍼스널컬러,진행중,자연
바이오뷰티 창업과 성공전략,진행중,사회
문화융합시대의 창업,진행중,사회
파이썬으로 배우는 기계학습 입문 Plus+,진행중,공학
모성간호학,진행중,의료
빅데이터와 고객관계관리,진행중,사회
시와 상상력: 동서양의 명시를 통해 본 인문학적 상상력,진행중,인문
인간행동과 사회환경,진행중,사회
고대 그리스 신화와 문학세계,청강가능,인문
디지털 시대의 커뮤니케이션,청강가능,사회
위대한 수업2(GREAT MINDS) : 불평등의 수수께끼,청강가능,사회
"차이나는 K-클라스 : 우리 역사, K-콘텐트로 다시 태어나다(신주백)",청강가능,인문
"K-Development, From Where, To Where",청강가능,사회
자산관리와 인생재무제표,청강가능,사회
생물주권이야기 ,청강가능,인문
2030 축의 전환(2030),진행중,사회
이윤기의 그리스 로마 신화(Greek and Roman Mythology),진행중,인문
지금 팔리는 것들의 비밀(When They Buy),진행중,사회
보는 순간 사게 되는 1초 문구 (The power of a catchy phrase),진행중,사회
위기인가? 삼성하라! (Is Crisis? Do Samsung!),진행중,사회
게임 인류 (Gamification),진행중,공학
강원국의 어른답게 말합니다 (Speak like a real grown-up),진행중,인문
나의 월급 독립 프로젝트(My Salary Independent Project),진행중,사회
약속의 땅(A Promised Land),진행중,사회
언바운드(Unbound),진행중,사회
의료기술평가 연구방법론,진행중,의료
자원봉사 교육강사 만들기,진행중,사회
건강보험 보장성강화 제대로 알기,진행중,의료
자원봉사자 교육하기,진행중,사회
자원봉사활동 지원하기,진행중,사회
"메타버스로 맛보는 서해바다, 도(道)시(視)락(樂)",진행중,사회
양자정보처리 기초,진행중,공학
위대한 수업2(GREAT MINDS) : 미래에서 온 영화,청강가능,예체능
"차이나는 K-클라스 : 하이테크와 예술의 만남, K-도자기(이애령)",청강가능,예체능
식품위생법규(Food Sanitation Act),진행중,자연
발달지연 청소년의 참 세상살이를 위한 의사소통(4),진행중,교육
진공 공학 및 설계,진행중,공학
위대한 수업2(GREAT MINDS) : 도시는 어떻게 성공하는가,청강가능,사회
문화와 생활 속 청렴 시즌2,종료,교육
문화와 생활 속 청렴,종료,인문
코딩없는 SW개발,진행중,공학
개인정보: 보호와 이용의 법과 권리,진행중,사회
뇌과학: 현대인이 알아야할 지식들,진행중,의료
미래교육과 에듀테크 ,진행중,교육
"차이나는 K-클라스 : 지금은 웹툰 시대(한창완, 이종범)",청강가능,예체능
위대한 수업2(GREAT MINDS) : 국가는 무엇을 해야 하나,청강가능,사회
차이나는 K-클라스 : 뮤지컬 보러 한국 올래?(이지나),청강가능,예체능
디지털 논리회로와 인공지능,진행중,공학
발달장애 자녀를 위한 상담기법,진행중,사회
발달장애와 직업진로상담,진행중,사회
발달장애인 직업재활,진행중,사회
발달과 발달장애의 이해,진행중,사회
영유아 발달,진행중,교육
"위대한 수업2(GREAT MINDS) : 다시, 오래된 미래",청강가능,자연
"차이나는 K-클라스 : 1인치 장벽을 넘어선, K-배우의 힘(김신록, 백은하)",청강가능,예체능
Tsinghua Chinese: Start Talking with 1.3 Billion People,진행중,인문
Intermediate Accounting II,진행중,사회
Winning in Business: The Art of War by Sun Tzu,진행중,사회
사회로 기초다지기 일본어,진행중,인문
문화로 입문하기 일본어 ,진행중,인문
경제로 실력쌓기 일본어,진행중,인문
기술로 고수되기 일본어,진행중,인문
한국창업정책 60년사와 우수 기업 사례,청강가능,사회
세계로 통하는 한국어 : 초급Ⅰ,청강가능,사회
세계로 통하는 한국어 : 중급Ⅰ,청강가능,사회
세계로 통하는 한국어 : 초급Ⅱ,청강가능,사회
미생물학 입문,청강가능,자연
인공지능 학습용 데이터 라벨링 전문교육,청강가능,공학
설득을 위한 언어,진행중,인문
위대한 수업2(GREAT MINDS) : 힌두학 개론,청강가능,인문
