title,condition,url,kind,img_url
"AI융합교육의 이해, 교육",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22003M+2023_S15/about,교육,http://www.kmooc.kr/asset-v1:EwhaK+EW22003M+2023_S15+type@asset+block@융합교육.png
"비정형 데이터 분석: 소셜 네트워크의 분석 심화, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22004K+2023_S28/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW22004K+2023_S28+type@asset+block@이화여대_영비정형-데이터_소셜-네트워크의-분석-심화_썸네일.jpg
"철학과 인공지능, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:SNUk+SNU054.019k+2023_S1/about,인문,http://www.kmooc.kr/asset-v1:SNUk+SNU054.019k+2023_S1+type@asset+block@23-1_철학과인공지능.jpg
"Identity, Agency, Equality and Security in the Age of AI, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW20002K+2023_S22/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW20002K+2023_S22+type@asset+block@AI.png
"건축으로 읽는 사회문화사, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW36387K+2023_S01/about,공학,http://www.kmooc.kr/asset-v1:EwhaK+EW36387K+2023_S01+type@asset+block@건축.png
"인간은 왜 병에 걸리는가?: 질병의 생태와 진화, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW17001K+2023_S07/about,자연,http://www.kmooc.kr/asset-v1:EwhaK+EW17001K+2023_S07+type@asset+block@KakaoTalk_20220830_160401059_10.png
"음악과 과학/기술, 예체능",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW11239K+2023_S05/about,예체능,http://www.kmooc.kr/asset-v1:EwhaK+EW11239K+2023_S05+type@asset+block@KakaoTalk_20220830_160401059_07.png
"세 문명 이야기: 중세 지중해 교류사, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW20001K+2023_S23/about,인문,http://www.kmooc.kr/asset-v1:EwhaK+EW20001K+2023_S23+type@asset+block@세문명.png
"교육데이터 분석, 교육",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22004M+2023_S16/about,교육,http://www.kmooc.kr/asset-v1:EwhaK+EW22004M+2023_S16+type@asset+block@교육데이터.png
"인간행위와 사회구조, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW10771K+2023_S02/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW10771K+2023_S02+type@asset+block@KakaoTalk_20220830_160401059_09.png
