title,condition,url,agency,introduce,kind
공공기관 NCS블라인드 채용,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB15+2023_01/about,㈜웅진씽크빅,"최신 채용 트렌드 반영! 공공기관 취업 준비생들을 위한
완벽분석

■ 주요 학습 내용/목표
- 공공기관 채용의 특징을 이해하고, 취업 준비의 방향성 수립에 확신을 가질 수 있습니다.
- 서류-필기-면접 등 채용 단계별 평가 기준을 파악하고 대비 방법을 알 수 있습니다.

- 직업기초능력 10가지의 의미를 이해하고 자기소개서 작성과 면접 답변에 적합한 소재를 선정할 수 있습니다.
- 공공기관 채용 정보와 기업 정보를 서치하는 방법을 알 수 있습니다.

■ 강의 대상
- 공공기관 취업에 관심이 있거나, 공공기관 취업을 목표로 하시는 분
- 공공기관 취업을 위해 어떤 준비가 필요한지, 사기업 취업 준비와는 어떤 차이가 있는지 궁금하신 분
- 공공기관 채용 전형별 특징과 준비 전략이 궁금하신 분
- 직업기초능력 기반 자기소개서 작성과 면접 답변 대비가 필요하신 분","
사회과학

                                (사회과학)
                            "
R을 이용한 데이터 분석,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB27+2023_01/about,㈜웅진씽크빅,"머신러닝 등 좀 더 심화된 데이터 분석과정을 이해할 수있는
기본지식을 쌓을 수 있습니다.

■ 주요 학습 내용/목표
- 더 이상 엑셀에서 Copy, Paste의 지루한 작업을 반복해서 하지 않아도 됩니다.
- 엑셀에 넣을 수 없는 크기의 데이터를 이용해 데이터 분석 업무를 프로그래밍할 수 있습니다.
- R프로그래밍을 활용하여 업무 성과 향상이 가능합니다.
- 데이터분석에 대하여 자신감이 생기며, R프로그래밍을 다양하게 활용할 수 있습니다.
- 머신러닝등 좀 더 심화된 데이터 분석과정을 이해할 수 있는 기본 지식을 쌓을 수 있습니다.

■ 강의 대상
- R을 실제 업무와 일상의 예에 적용시키고, 활용하고 싶은 사람
- R프로그래밍 스킬을 향상시키고 싶은 사람
- 데이터 분석의 고수가 되고 싶은 사람
- 데이터분석을 그래픽을 이용하여 시각화 하고 싶은 사람
- R프로그래밍 입문 과정을 수강한 사람","
공학

                                (컴퓨터ㆍ통신)
                            "
R을 이용한 금융데이터 분석,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB28+2023_01/about,㈜웅진씽크빅,"R을 활용한 퀀트 모델링을 통해 투자 포트폴리오 구성 및
투자 성과분석을 할 수 있습니다.

■ 주요 학습 내용/목표
- 액셀을 넣을 수 없는 크기의 데이터를 이용해 투자 업무에서 자주 사용되는 모든 업무를 프로그래밍을 이용해 할 수
있습니다.
- 금융 데이터 수집/분석을 위한 간편하고 효과적인 자동화 Tool을 구현할 수 있습니다.
- R을 활용한 퀀트 모델링을 통해 투자 포트폴리오 구성 및 투자 성과 분석을 할 수 있습니다.
- 퀀트 전략을 통해 수익률 높은 투자를 할 수 있는 실력을 갖출 수 있습니다.
- 좀 더 심화된 퀀트 모델링 과정을 들을 수 있는 기본 지식을 쌓을 수 있습니다.

■ 강의 대상
- 주식, 금융투자에 'R을 활용하여 고수익'을 얻고 싶은 분
- 데이터 분석을 통한 퀀트 투자에 입분하고 싶은 모든 분
- 주40시간 업무를 빨리 끝내고 워라벨을 하고 싶은 분
- Big data, R을 이용한 데이터 분석의 고수가 되고자 하는 모든 분
- 금융권 커리어를 준비하는 직장인/취준생 및 금융권內 비퀀트 업무 종사자","
공학

                                (컴퓨터ㆍ통신)
                            "
금융전문가에게 배우는 부자되는 가장 확실한 방법,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB23+2023_01/about,㈜웅진씽크빅,"금융자산을 통해 자기투자를 계획하는 기본 개념을 익힐 수
있습니다.

■ 주요 학습 내용/목표
- 경제가 어떻게 작동하는지 이해하고 세상의 흐름을 분석할 수 있습니다.
- 필수 경제금융 상식을 마스터할 수 있습니다.
- 금융자산을 통해 자기투자를 계획하는 기본 개념을 익힐 수 있습니다.

■ 강의 대상
- 이제 막 주식을 시작하는 주린이
- 똑똑한 투자자가 되고 싶은 사람
- 투자, 자산관리에 대하여 이제 막 시작하고자 하는 사람
- 체계적인 돈 관리에 대하여 공부하거나 계획을 세워보고 싶은 사람","
사회과학

                                (경영ㆍ경제)
                            "
투자를 위한 거시경제,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB22+2023_01/about,㈜웅진씽크빅,"투자를 위한 기본 지식, 금융 경제지식을 얻을 수
있습니다.

■ 주요 학습 내용/목표
- 실제 사례를 중심으로 거시경제학을 쉽게 이해합니다.
- 투자자가 꼭 알아야 하는 거시경제지표 개념 및 유형을 학습합니다.
- 자산의 가격이 어떻게 결정되고, 어떤 영향을 받아 변화하는지 이해합니다.
- 글로벌 금융시장 변화에 대한 통찰력을 제공합니다.

■ 강의 대상
- 거시 경제에 관심 있는 사람
- 최소한의 경제 상식을 쉽게 익히고 싶은 분
- 주식 또는 재테크를 처음 시작하려는 분
- 투자를 위한 기본 지식이나 금융 경제지식이 필요한 분
- 자산 배분 투자에 관심 있는 사람","
사회과학

                                (경영ㆍ경제)
                            "
금융전문가에게 배우는 글로벌 경제분석과 주식 투자 전략,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB24+2023_01/about,㈜웅진씽크빅,"거시경제 변화가 우리의 경제 활동과 투자에
어떤영향을미치는지 기초부터 체계적으로 익힐 수 있습니다.

■ 주요 학습 내용/목표
- 글로벌 경제의 변화가 우리의 삶에 어떤 영향을 미치는지 이해하고, 이에 맞는 의사결정을 하는 연습을하게됩니다.
- 신문이나 언론에서 접하는 경제뉴스를 해석할 수 있습니다.
- 거시경제 변화가 우리의 경제활동과 투자에 어떤 영향을 미치는지 기초부터 체계적으로 익힐 수 있습니다.
- 경제상황을 투자의 가장 기본 자산인 주식과 채권과 연결하는 법을 학습합니다.

■ 강의 대상
- 경제에 대한 공부를 해보지 않은 사람
- 경제 공부한 적은 있지만 경제에 대한 정보를 다시 접할 때 이해되지 않는 사람
- 신문을 읽고 경제를 이해하고 싶은 사람
- 경제학을 실생활과 연결해 응용해 보고 싶은 사람","
사회과학

                                (경영ㆍ경제)
                            "
중간관리자가 꼭 알아야하는 머신러닝과 빅데이터 기법,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB31+2023_01/about,㈜웅진씽크빅,"어려운 수학이나 통계학을 사용하지 않고, 데이터 분석의
기본이론을 직관적으로 이해할 수 있습니다.

■ 주요 학습 내용/목표
- 어려운 수학이나 통계학을 사용하지 않고, 데이터 분석의 기본이론을 직관적으로 이해할 수 있습니다.
- 직접 알고리즘을 통한 프로그래밍을 디자인할 수 없지만, 데이터 사이언티스트의 설명을 이해하고 그들과 의사소통을 하는
토대를 마련할 수 있습니다.
- 자신의 업무지식에 데이터분석의 장점을 결합하여 더 나은 방향으로 프로젝트를 이끄는 중간관리자로서의 역량을 갖출 수
있습니다.
- 여러가지 비즈니스 문제를 빅데이터와 머신러닝을 이용해 풀어내는 방법을 습득할 수 있습니다.

■ 강의 대상
- 머신러닝과 빅데이터에 대하여 관심이 많은 사람
- 데이터 관련 업무를 하지 않지만, 데이터 관련 업무를 하는 사람들과 원활한 커뮤니케이션을 하고 싶은 사람
- 수학, 통계학, 프로그래밍을 잘 모르지만, 머신러닝, 빅데이터가 일상 및 비즈니스에서 일어나는 문제를 어떻게
풀어내는지 기본 과정을 이해하고 싶은 사람
- 데이터를 다루는 중간관리자로 업무 진행과정을 점검하고 큰 안목에서 새로운 방향을 찾고자 하는 사람","
공학

                                (컴퓨터ㆍ통신)
                            "
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_하",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB26+2023_01/about,㈜웅진씽크빅,"주식과 채권에 대한 이해를 펀드와 ETF로 연장해 더
효율적인 투자를 할 수 있는 방법을 터득하게 됩니다.

■ 주요 학습 내용/목표
- 개인투자자들의 여러 금융자산과 투자에 대한 기본 지식을 습득합니다.
- 주식과 채권, 펀드로 ETF로 더 효율적인 투자를 할 수 있는 방법을 습득합니다.
- 주식과 채권이 어떻게 다르고, 이렇게 다른 상품을 어떻게 보유해야 하는지에 대해 이해할 수 있습니다.
- 주식과 채권에 대한 이해를 펀드와 ETF로 연장해 더 효율적인 투자를 할 수 있는 방법을 터득하게 됩니다.

■ 강의 대상
- 투자에 대해 잘 몰라서 저축만 열심히 해온 사람
- 정확히 알고 계획을 세워 체계적으로 투자하겠다고 결심한 사람
- 열심히 일하고 알뜰살뜰 아끼며 사는 사람","
사회과학

                                (경영ㆍ경제)
                            "
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_상",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB25+2023_01/about,㈜웅진씽크빅,"주식과 채권이 어떻게 다르고, 이렇게 다른상품을 어떻게
보유해야 하는지에 대해 이해할 수 있습니다.

■ 주요 학습 내용/목표
- 개인투자자들의 여러 금융자산과 투자에 대한 기본 지식을 습득합니다.
- 주식과 채권, 펀드로 ETF로 더 효율적인 투자를 할 수 있는 방법을 습득합니다.
- 주식과 채권이 어떻게 다르고, 이렇게 다른 상품을 어떻게 보유해야 하는지에 대해 이해할 수 있습니다.
- 주식과 채권에 대한 이해를 펀드와 ETF로 연장해 더 효율적인 투자를 할 수 있는 방법을 터득하게 됩니다.

■ 강의 대상
- 투자에 대해 잘 몰라서 저축만 열심히 해온 사람
- 정확히 알고 계획을 세워 체계적으로 투자하겠다고 결심한 사람
- 열심히 일하고 알뜰살뜰 아끼며 사는 사람","
사회과학

                                (경영ㆍ경제)
                            "
데이터 분석과 비즈니스를 위한 기초 통계학_상,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB20+2023_01/about,㈜웅진씽크빅,"데이터 사이언티스트가 되기 위해 필요한 프로그래밍,
데이터모델링 과정 등의 기초지식을 쌓을 수 있습니다.

■ 주요 학습 내용/목표
- 데이터 사이언티스가 되기 위해 수강하는 프로그래밍, 데이터 모델링 과정 등에 - 필요한기초지식을쌓을수있습니다.
- 엑셀을 이용해 기본 통계기법을 이용한 실무에 필요한 데이터 분석을 할 수 있습니다.
- 통계와 데이터 분석 기법에 근거해 보고할 수 있는 자료를 만들 수 있습니다.
- 통계적인 사고를 통해 합리적인 의사결정 역량을 키울 수 있습니다.

■ 강의 대상
- 합리적인 의사결정을 위한 통계적인 기법을 습득하고자 하는 모든 사람
- 데이터 분석을 위한 통계적 지식 습득을 원하는 분들
- 데이터 사이언티스트가 되기 위한 공부를 이제 막 시작하려는 분들
- 경영학, 경제학, 사회학, 심리학 등 거의 모든 공부를 시작하는 분들","
공학

                                (컴퓨터ㆍ통신)
                            "
