title,condition,url,kind
"공공기관 NCS블라인드 채용, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB15+2023_01/about,사회
"R을 이용한 데이터 분석, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB27+2023_01/about,공학
"R을 이용한 금융데이터 분석, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB28+2023_01/about,공학
"금융전문가에게 배우는 부자되는 가장 확실한 방법, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB23+2023_01/about,사회
"투자를 위한 거시경제, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB22+2023_01/about,사회
"금융전문가에게 배우는 글로벌 경제분석과 주식 투자 전략, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB24+2023_01/about,사회
"중간관리자가 꼭 알아야하는 머신러닝과 빅데이터 기법, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB31+2023_01/about,공학
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_하, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB26+2023_01/about,사회
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_상, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB25+2023_01/about,사회
"데이터 분석과 비즈니스를 위한 기초 통계학_상, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB20+2023_01/about,공학
"데이터 분석과 비즈니스를 위한 기초 통계학_하, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB21+2023_01/about,공학
"나에게 맞는 '직무'찾기 - 인문,상경계열 편, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB14+2023_01/about,사회
"나에게 맞는 '직무'찾기 - 이공계열 편, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB13+2023_01/about,사회
"마케팅 데이터 사이언스-파이썬편, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB18+2023_01/about,공학
